mean_test_score,mean_fit_time,C,Gamma,tomek,under_strat,over_strat
0.882868134,329.4985754,111.0593821,0.327689494,No TL,-15%,SMOTE
0.882821388,247.4042288,47.46254999,0.39344395,TL,-15%,SMOTE
0.882202255,256.4875005,43.69117395,0.40177626,TL,-15%,SMOTE
0.881811723,14.8106184,138.0241987,0.492565786,No TL,-80%,Imbal S
0.881784412,193.4813648,27.15722975,0.637839212,No TL,-25%,SMOTE
0.881681614,291.9059296,49.54967814,0.453714489,No TL,-15%,SMOTE
0.881484923,95.44687192,64.24038307,1.015756299,TL,-40%,+500% S
0.881347206,41.08742881,201.6197748,0.742521805,TL,Imbal,Imbal S
0.881304265,37.73200266,114.8238204,0.968400833,TL,Imbal,Imbal S
0.881125667,17.88199425,54.30775881,0.912736829,TL,-80%,+300% S
0.880592889,44.31699896,54.57465728,1.070732357,TL,-40%,+500% S
0.880590994,221.8717184,69.74168845,0.384546307,No TL,-25%,SMOTE
0.880287961,83.10802627,197.4560754,1.020351674,No TL,-40%,Imbal S
0.880174595,245.3532011,41.72948884,0.386346867,TL,-15%,SMOTE
0.879928146,9.402829011,98.27895518,0.877427999,No TL,-80%,SMOTE
0.879913812,73.07141733,291.7657031,0.457792523,No TL,-60%,+500% S
0.879230418,168.0508683,23.03553488,0.502151206,TL,-15%,SMOTE
0.879059737,12.97012695,60.23405576,0.583503716,TL,-80%,Imbal S
0.879036478,41.04292123,35.83374354,0.594986986,TL,-80%,+500% S
0.878944069,290.8929167,96.33958081,0.740571374,TL,-15%,BoSMOTE
0.878898567,18.60161956,82.62880818,1.036684694,TL,Imbal,Imbal S
0.878876678,196.1993437,17.81995654,0.596700858,TL,-25%,SMOTE
0.878848861,74.32230401,163.108133,0.710979031,TL,-40%,Imbal S
0.878676414,61.42419076,28.07979169,0.889512327,No TL,Imbal,SMOTE
0.878613062,21.74750853,95.67546151,1.073577066,TL,Imbal,+300% S
0.87806087,40.07241782,87.06509618,0.979697886,TL,Imbal,Imbal S
0.877561668,8.261793693,27.25091161,0.965380347,No TL,-80%,Imbal S
0.877417272,65.26787066,187.0499867,1.053855546,TL,Imbal,BoSMOTE
