mean_score,mean_fit_time,param_C
0.713833907,36.48292458,27.93596423
0.714027539,35.11980987,21.85504305
0.713769363,38.15109277,31.71685678
0.70785284,38.51765764,49.90950929
0.712994836,36.64082724,32.18167627
0.713489673,23.31598061,4.289422585
0.652517212,41.02397466,165.7391331
0.714393287,32.68638104,13.789707
0.713597246,35.68753451,27.27531001
0.659961274,41.67558897,129.1445956
0.712844234,36.06247556,30.7001177
0.637069707,41.3366546,121.4000958
0.713704819,31.2406261,8.563421444
0.713575731,24.16250509,4.401400008
0.704905336,38.04995054,54.32543752
0.712693632,38.27023977,36.99758901
0.714049053,33.31949258,13.45272722
0.70785284,38.02719671,49.54951978
0.70697074,32.47346884,48.8213723
0.708154045,29.91864365,54.5599617
