activ,av_val_loss,drop_out,max_neurons,learn_rate,momentum,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
Relu,0.311383076,0,128,0.001,0.99,831.921875,63.75,0.393402278,0.276115805,0.28127405,0.29474017
LeReLU,0.312687613,0.1,256,0.1,0,1317.625,58.75,0.400912195,0.315196544,0.252414972,0.282226741
Relu,0.313567035,0,256,0.001,0.99,1362.25,66.25,0.421684772,0.266433835,0.259327084,0.306822449
Relu,0.313763849,0.2,256,0.1,0,1544.671875,75,0.427302927,0.251550585,0.315618128,0.260583758
LeReLU,0.316306897,0,256,0.01,0,1778.09375,85,0.443418235,0.330086112,0.270308435,0.221414804
LeReLU,0.317584969,0,256,0.01,0.01,1738,82.5,0.336947709,0.288116097,0.315873593,0.329402477
LeReLU,0.317810457,0.1,512,0.001,0.9,2912.625,75,0.415561467,0.336615413,0.277621418,0.24144353
LeReLU,0.318473767,0.1,512,0.01,0,2463.203125,65,0.378504723,0.395328164,0.267822415,0.232239768
Relu,0.319358587,0.1,128,0.01,0.9,923.703125,68.75,0.345617741,0.345155597,0.327321142,0.259339869
Relu,0.319990955,0,64,0.1,0,582.78125,65,0.340154022,0.345599264,0.29946354,0.294746995
Relu,0.321605407,0.2,256,0.01,0.9,1487.265625,70,0.370872021,0.309688151,0.319721371,0.286140084
Relu,0.323069938,0,256,0.01,0.99,1182.1875,57.5,0.418740541,0.333449662,0.300139606,0.239949942
LeReLU,0.323435254,0.1,256,0.01,0.99,1404.53125,61.25,0.372618109,0.378453255,0.264181614,0.27848804
LeReLU,0.323535994,0.1,256,0.001,0.99,1609.109375,68.75,0.419181794,0.291518897,0.298952997,0.284490287
Relu,0.326797508,0.2,256,0.001,0.99,1485.53125,70,0.38807869,0.319977909,0.345282048,0.253851384
LeReLU,0.327209421,0,256,0.001,0.9,1262.25,58.75,0.412683517,0.345577687,0.281849921,0.268726557
Relu,0.328293029,0.2,256,0.01,0.99,1458.96875,68.75,0.384339422,0.382318974,0.223082498,0.323431224
LeReLU,0.332519107,0,128,0.01,0,971.34375,67.5,0.459316343,0.257849008,0.289114982,0.323796093
LeReLU,0.332801521,0,512,0.01,0.01,2397.421875,65,0.358371049,0.293901235,0.394736409,0.28419739
LeReLU,0.333345152,0,512,0.1,0.99,2479.96875,66.25,0.451671213,0.348810792,0.26457864,0.268319964
Softmax,0.334497783,0,512,0.01,0.99,2299.15625,60,0.467916042,0.329484969,0.328530818,0.212059304
Relu,0.334976532,0,256,0.001,0.999,1744.203125,85,0.361278504,0.387531936,0.330943465,0.260152221
Relu,0.33502987,0.1,128,0.1,0,871.109375,67.5,0.360188723,0.38844949,0.297569364,0.293911904
Relu,0.335324436,0,128,0.0001,0.99,965.25,73.75,0.447517306,0.344585449,0.281563312,0.26763168
Relu,0.335959442,0,64,0.01,0.99,576.109375,61.25,0.277850658,0.378038138,0.348189324,0.339759648
Softmax,0.338664502,0,512,0.1,0.9,2196.046875,62.5,0.410226911,0.345143288,0.285753727,0.313534081
LeReLU,0.339964375,0.1,128,0.1,0,894.078125,65,0.345184803,0.370000243,0.34564206,0.299030393
Relu,0.340284087,0.1,64,0.01,0.9,691.203125,71.25,0.31929338,0.313249469,0.365745544,0.362847954
LeReLU,0.340339459,0,128,0.1,0.001,1050.015625,78.75,0.365410507,0.347379148,0.330753356,0.317814827
Relu,0.340906672,0,128,0.01,0,894.4375,71.25,0.385826617,0.347091407,0.342742741,0.287965924
Relu,0.342914626,0,512,0.1,0,2131.296875,67.5,0.458492398,0.290721446,0.318462491,0.303982168
LeReLU,0.3468481,0,128,0.01,0.001,897.546875,67.5,0.395209014,0.326381534,0.323705554,0.342096299
LeReLU,0.347314976,0.1,512,0.01,0,2811.078125,73.75,0.416645885,0.307339221,0.330133438,0.335141361
Relu,0.347473167,0.1,256,0.01,0,1314.25,63.75,0.45279786,0.370561332,0.288126945,0.278406531
Relu,0.34866672,0,128,0.001,0.9,915.453125,70,0.467830926,0.333567649,0.321250796,0.272017509
Relu,0.348866068,0,128,0.01,0.99,800.546875,61.25,0.376782686,0.349684477,0.338181257,0.330815852
LeReLU,0.349065565,0.1,256,0.001,0.9,1348.5,61.25,0.486283809,0.327289611,0.250780821,0.331908017
LeReLU,0.349242844,0.1,256,0.01,0.001,1559.453125,71.25,0.3780711,0.378152937,0.349291027,0.291456312
Relu,0.349736162,0.1,128,0.001,0.9,1025.171875,76.25,0.388167888,0.403547883,0.357038587,0.250190288
LeReLU,0.350661948,0,256,0.1,0.99,1340.25,62.5,0.459541827,0.414393902,0.250859976,0.277852088
Relu,0.350879498,0.1,256,0.1,0.9,1187.96875,56.25,0.497123122,0.320209205,0.257303625,0.328882039
Relu,0.353515729,0,128,1.00E-05,0.999,1025.296875,78.75,0.442307591,0.311738044,0.335530251,0.324487031
LeReLU,0.355221301,0.1,256,0.01,0,1610.390625,75,0.421859443,0.348898828,0.343548656,0.306578279
LeReLU,0.356796227,0.1,128,0.01,0.001,1082.125,78.75,0.362994403,0.357646644,0.347749412,0.358794451
Relu,0.358285353,0,256,1.00E-05,0.999,1489.875,72.5,0.462995082,0.36948967,0.308490217,0.292166442
LeReLU,0.35834977,0.1,512,0.01,0.001,3020.578125,70,0.465304464,0.367264628,0.328207344,0.272622645
Relu,0.359722383,0.1,256,0.001,0.9,1373.015625,65,0.392054468,0.333549708,0.369194388,0.344090968
Relu,0.361076795,0.2,128,0.01,0.9,821.171875,61.25,0.449941337,0.353493124,0.30905512,0.331817597
Relu,0.362151116,0,64,0.1,0.9,539.25,57.5,0.40676555,0.325229377,0.387835413,0.328774124
Relu,0.362433858,0.2,128,0.1,0,758.265625,58.75,0.461524099,0.398297757,0.261706114,0.328207463
LeReLU,0.365106046,0.1,256,0.1,0.001,1362.890625,62.5,0.451168895,0.332406461,0.285930544,0.390918285
Relu,0.365669817,0.2,128,0.001,0.99,858.546875,63.75,0.431089014,0.373514384,0.377174944,0.280900925
Softmax,0.365909237,0.1,256,0.01,0.99,1998.171875,85,0.503681839,0.333785564,0.397381276,0.228788272
Relu,0.366261646,0.1,256,0.0001,0.999,1188.078125,56.25,0.447154701,0.391441435,0.318383515,0.308066934
Softmax,0.367334247,0,256,0.1,0,1165.953125,58.75,0.443171889,0.37840566,0.340682268,0.307077169
Relu,0.367941871,0.3,256,0.1,0,1463.21875,71.25,0.502873003,0.331837952,0.283776492,0.353280038
Softmax,0.369723275,0.1,256,0.1,0.9,1599.671875,71.25,0.42550838,0.316856056,0.397850901,0.338677764
Relu,0.371478803,0.2,256,0.0001,0.999,1587.625,75,0.414076239,0.412936002,0.360326648,0.298576325
Softmax,0.372626461,0,256,0.001,0.99,2060.96875,96.25,0.427711666,0.405925095,0.332434416,0.324434668
Relu,0.373628899,0.1,128,0.001,0.99,890.375,66.25,0.455437869,0.356546789,0.3759031,0.30662784
Relu,0.373921864,0.1,128,0.01,0,838.53125,65,0.449666142,0.345656902,0.313173085,0.387191325
LeReLU,0.373984896,0.1,256,0.01,0.01,1712.90625,78.75,0.46281594,0.342743188,0.321172118,0.369208336
Softmax,0.375328623,0,512,0.001,0.99,2889.203125,78.75,0.448778898,0.376839608,0.398572326,0.27712366
Relu,0.376013204,0.2,256,0.001,0.9,1510.265625,71.25,0.446024626,0.388619155,0.322634041,0.346774995
LeReLU,0.377913661,0.1,128,0.1,0.001,1092.765625,80,0.495791346,0.338069409,0.344608456,0.333185434
Relu,0.3786944,0.1,256,0.0001,0.99,1402.984375,66.25,0.474946499,0.302740663,0.335418671,0.401671767
Relu,0.378860332,0.3,256,0.001,0.99,1272.46875,60,0.405058831,0.41047594,0.389648169,0.310258389
Relu,0.378925323,0.2,128,0.1,0.9,855.046875,63.75,0.374904245,0.356404781,0.409412086,0.374980181
Softmax,0.379284941,0,256,0.01,0.99,1420.3125,62.5,0.477533847,0.425609469,0.342853993,0.271142453
Relu,0.38060949,0.1,512,0.1,0,2157.1875,66.25,0.369595885,0.366163731,0.366240621,0.420437723
Softmax,0.380832061,0,256,0.1,0.9,1364.828125,63.75,0.535853922,0.386939794,0.298914164,0.301620364
LeReLU,0.381883241,0.1,512,0.1,0.99,2688,68.75,0.479854465,0.499265939,0.3003214,0.248091161
LeReLU,0.383010693,0,128,0.01,0.01,898.015625,67.5,0.432841003,0.389409512,0.38469255,0.325099707
Relu,0.383460842,0.3,256,0.01,0.9,1402.921875,66.25,0.523777604,0.427778363,0.272398829,0.309888572
Relu,0.383976229,0.2,128,0.0001,0.99,1141.5625,85,0.50487417,0.390113801,0.300240219,0.340676725
Relu,0.384003386,0.1,256,0.001,0.999,1550.46875,73.75,0.473973364,0.342466861,0.410271764,0.309301555
Relu,0.384591624,0.1,64,0.1,0,670.9375,72.5,0.452760249,0.407085299,0.409004956,0.269515991
Relu,0.385537356,0,64,0.01,0,701.8125,78.75,0.503071845,0.374016106,0.332263589,0.332797885
Relu,0.385662876,0.3,256,0.01,0.99,1372.859375,65,0.532735229,0.366869092,0.364846736,0.278200448
Relu,0.385776043,0.3,256,0.1,0.9,1373.3125,65,0.509247065,0.328453571,0.278560758,0.426842779
Relu,0.386378355,0.2,128,0.001,0.999,1171.046875,87.5,0.507048488,0.353398323,0.401561052,0.283505559
Softmax,0.387601778,0,32,0.001,0.99,643.140625,73.75,0.444034308,0.424841017,0.2903983,0.391133487
