av_val_loss,tomek,under_strat,over_strat,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
0.238006804,No TL,Imbal,+500% BS,3571.984375, 82.13 ,0.256376088,0.203187481,0.216762275,0.275701374
0.238857158,No TL,Imbal,Imbal BS,3308.375, 95.63 ,0.246751726,0.291108847,0.184322149,0.233245909
0.239464018,TL,Imbal,+300% S,2669.59375, 82.13 ,0.314601719,0.183049053,0.204933599,0.255271703
0.240451861,No TL,Imbal,+500% S,2683.171875, 63.00 ,0.249631733,0.174441501,0.262931228,0.274802983
0.240494441,TL,-40%,+500% BS,3898.4375, 85.50 ,0.2559053,0.169016331,0.192068204,0.344987929
0.24185193,No TL,-80%,Imbal BS,2299.78125, 85.50 ,0.260674089,0.185936734,0.264496386,0.256300509
0.243018039,TL,-60%,+300% BS,2834.890625, 92.25 ,0.243266165,0.230651349,0.273656547,0.224498093
0.246998664,TL,-15%,+500% S,4276.90625, 73.13 ,0.219881192,0.293253034,0.285148114,0.189712316
0.247685041,TL,-80%,+300% BS,2019.984375, 78.75 ,0.248657361,0.225843728,0.306295812,0.209943265
0.248303503,TL,-15%,+100% BS,3511.828125, 100.00 ,0.222301796,0.227311209,0.281301051,0.262299955
0.248975389,No TL,-25%,Imbal S,3350.765625, 81.00 ,0.302082747,0.210480064,0.260504901,0.222833842
0.249524038,No TL,-60%,+500% S,2611, 64.13 ,0.261887044,0.360082239,0.217108041,0.159018829
0.254220285,TL,-40%,Imbal S,2705.96875, 72.00 ,0.235708684,0.269418269,0.255547404,0.256206781
0.256312933,No TL,-15%,Imbal S,4105.6875, 93.38 ,0.252519697,0.182708234,0.244307473,0.345716327
0.259085137,TL,-25%,Imbal BS,3159.78125, 77.63 ,0.276533127,0.229962826,0.238878176,0.290966421
0.262568202,No TL,-60%,+300% S,2560.953125, 82.13 ,0.194079891,0.256646425,0.288510501,0.311035991
0.265206378,TL,-40%,Imbal BS,3408.453125, 92.25 ,0.258758277,0.344219357,0.244883418,0.21296446
